,"Title", "Authors"
1,`The challenge of simultaneously matching the observed diversity of chemical abundance patterns in cosmological hydrodynamical simulations <https://arxiv.org/pdf/2103.03884.pdf>`_,Andrea V. Macciò
2,`Discovery of Eleven Millisecond Pulsars Using Jerk Searches on Unassociated Fermi-LAT Sources <https://indico.cern.ch/event/1010947/contributions/4302006/attachments/2223618/3765785/rev3_PDF.pdf>`_,S Tabassum
3,`Extraction of urban multi-class from high-resolution images using pyramid generative adversarial networks <https://www.sciencedirect.com/science/article/pii/S0303243421000866>`_,Rasha Alshehhi
4,`Intercomparison of Arctic sea ice simulation in ROMS-CICE and ROMS-Budgell <https://www.sciencedirect.com/science/article/pii/S1873965221001055>`_,Rajesh Kumar
5,`A tenuous collisional atmosphere on Callisto <https://www.sciencedirect.com/science/article/pii/S0019103521002621?casa_token=n-feAEhM7HkAAAAA:DtRBllkWoAgYWz3zrzzBxiZc6OHEBZ0v3bK75vHyp4BERk0iPlXhPWCwmSwY6gblkFJnkHEs>`_,Shane R.Carberry Mogan
6,`Detection of Coronal Mass Ejections Using Unsupervised Deep Clustering <https://link.springer.com/article/10.1007/s11207-021-01854-w>`_,Rasha Alshehhi
7,`The influence of upper boundary conditions on molecular kinetic atmospheric escape simulations <https://www.sciencedirect.com/science/article/pii/S0032063321001410>`_,Shane R Carberry Mogan
8,`Tracing birth properties of stars with abundance clustering <https://arxiv.org/pdf/2107.08088.pdf>`_,Tobias Buck
9,`An Ultra-Broadband Two-Mode Transverse-Electric Multiplexer in SOI platform <https://ieeexplore.ieee.org/abstract/document/9489888>`_,Bruna Paredes
10,`Long-term dynamical survival of deep Earth co-orbitals <https://academic.oup.com/mnras/article/507/2/1640/6339288?login=true>`_,Nikolaos Georgakarakos
11,`Convective heat transport in slender cells is close to that in wider cells at high Rayleigh and Prandtl numbers <https://arxiv.org/pdf/2108.04593.pdf>`_,Ambrish Pandey
12,`Numerical evaluation of time-distance helioseismic sensitivity kernels in spherical geometry <https://arxiv.org/pdf/2112.13517.pdf>`_,Jishnu Bhattacharya
