,Title,Authors/Co-Authors
1,`CMOS compatible ultra-compact MMI based wavelength diplexer with 60 Gbit/s system demonstration <https://opg.optica.org/oe/fulltext.cfm?uri=oe-30-5-8257>`_,Zakriya Mohammed
2,`Design-time exploration of voltage switching against power analysis attacks in 14 nm FinFET technology <https://www.sciencedirect.com/science/article/pii/S0167926022000207>`_,Johann Knechtel
3,`A CMOS Compatible On-Chip MMI based Wavelength Diplexer with 60 Gbit/s System Demonstration <https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9748378>`_,Zakriya Mohammed
4,`RoHNAS: A Neural Architecture Search Framework with Conjoint Optimization for Adversarial Robustness and Hardware Efficiency of Convolutional and Capsule Networks <https://arxiv.org/pdf/2210.05276.pdf>`_,Muhammad Shafique
5,`Titan: Security Analysis of Large-Scale Hardware Obfuscation Using Graph Neural Networks <https://ieeexplore.ieee.org/abstract/document/9933482>`_,Likhitha Mankali
6,`Adaptive Wavelet Transformer Network for 3D Shape Representation Learning <https://openreview.net/pdf?id=5MLb3cLCJY>`_,Yi Fang
7,`Manifold Adversarial Learning for Cross-domain 3D Shape Representation <https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136860266.pdf>`_,Yi Fang
8,`Non-Rigid Multiple Point Set Registration Using Latent Gaussian Mixture <https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9897166>`_,Yi Fang
9,`On Integrated Sensing and Communication Waveforms with Tunable PAPR <https://arxiv.org/pdf/2210.02892.pdf>`_,Marwa Chafii
10,"`RIS-Enabled Passive Radar towards Target
Localization <https://arxiv.org/pdf/2210.11887.pdf>`_",Marwa Chafii
